    r     rho_a(r)         V(r)  F(rho_a(r))
3.738   0.00576034   -0.0141802   -0.0229376
3.732   0.00582887   -0.0145007   -0.0232111
3.726     0.005899   -0.0148307   -0.0234911
 3.72   0.00597077   -0.0151702   -0.0237776
3.714   0.00604422   -0.0155191   -0.0240708
3.708   0.00611937   -0.0158774   -0.0243709
3.702   0.00619627    -0.016245    -0.024678
3.696   0.00627495   -0.0166218   -0.0249922
 3.69   0.00635546   -0.0170079   -0.0253137
3.684   0.00643782   -0.0174031   -0.0256428
3.678   0.00652208   -0.0178073   -0.0259794
3.672   0.00660827   -0.0182206   -0.0263237
3.666   0.00669643   -0.0186429    -0.026676
 3.66    0.0067866    -0.019074   -0.0270364
3.654   0.00687881    -0.019514   -0.0274049
3.648    0.0069731   -0.0199628   -0.0277819
3.642   0.00706951   -0.0204203   -0.0281673
3.636   0.00716807   -0.0208865   -0.0285614
 3.63   0.00726882   -0.0213613   -0.0289643
3.624    0.0073718   -0.0218447   -0.0293762
3.618   0.00747704   -0.0223365   -0.0297973
3.612   0.00758458   -0.0228368   -0.0302276
3.606   0.00769447   -0.0233455   -0.0306673
  3.6   0.00780672   -0.0238625   -0.0311166
3.594    0.0079214   -0.0243877   -0.0315757
3.588   0.00803852   -0.0249212   -0.0320447
3.582   0.00815812   -0.0254628   -0.0325237
3.576   0.00828026   -0.0260125   -0.0330129
 3.57   0.00840498   -0.0265703   -0.0335127
3.564   0.00853235   -0.0271362   -0.0340231
3.558    0.0086624   -0.0277102   -0.0345444
3.552    0.0087952   -0.0282922   -0.0350768
3.546    0.0089308   -0.0288823   -0.0356207
 3.54   0.00906926   -0.0294804   -0.0361761
3.534   0.00921062   -0.0300865   -0.0367433
3.528   0.00935495   -0.0307006   -0.0373225
3.522   0.00950229   -0.0313226   -0.0379141
3.516   0.00965269   -0.0319527   -0.0385181
 3.51   0.00980623   -0.0325907   -0.0391348
3.504   0.00996293   -0.0332366   -0.0397646
3.498    0.0101229   -0.0338905   -0.0404075
3.492    0.0102861   -0.0345523   -0.0410638
3.486    0.0104527    -0.035222   -0.0417338
 3.48    0.0106226   -0.0358995   -0.0424177
3.474     0.010796    -0.036585   -0.0431157
3.468    0.0109729   -0.0372783   -0.0438281
3.462    0.0111533   -0.0379794   -0.0445551
3.456    0.0113374   -0.0386884    -0.045297
 3.45    0.0115251   -0.0394051   -0.0460539
3.444    0.0117165   -0.0401297   -0.0468261
3.438    0.0119117   -0.0408621    -0.047614
3.432    0.0121108   -0.0416022   -0.0484176
3.426    0.0123136   -0.0423501   -0.0492373
 3.42    0.0125205   -0.0431057   -0.0500733
3.414    0.0127313   -0.0438689    -0.050926
3.408    0.0129462   -0.0446394   -0.0517957
3.402    0.0131653   -0.0454171   -0.0526827
3.396    0.0133886   -0.0462019   -0.0535873
 3.39    0.0136161   -0.0469935   -0.0545099
3.384    0.0138481   -0.0477917   -0.0554509
3.378    0.0140845   -0.0485964   -0.0564105
3.372    0.0143254   -0.0494075   -0.0573892
3.366    0.0145709   -0.0502247   -0.0583872
 3.36    0.0148211   -0.0510478    -0.059405
3.354     0.015076   -0.0518767   -0.0604428
3.348    0.0153357   -0.0527112   -0.0615011
3.342    0.0156003   -0.0535511   -0.0625802
3.336    0.0158699   -0.0543962   -0.0636804
 3.33    0.0161445   -0.0552464   -0.0648022
3.324    0.0164242   -0.0561015   -0.0659459
