    r     rho_a(r)         V(r)  F(rho_a(r))
4.032  7.36348e-05    0.0022644    -0.116868
4.026  7.49046e-05   0.00231365    -0.118071
 4.02  7.61954e-05   0.00236397    -0.119285
4.014  7.75076e-05   0.00241538    -0.120512
4.008  7.88415e-05   0.00246791    -0.121756
4.002  8.01975e-05   0.00252158    -0.123018
3.996  8.15758e-05   0.00257642      -0.1243
 3.99   8.2977e-05   0.00263245    -0.125604
3.984  8.44012e-05    0.0026897     -0.12693
3.978  8.58488e-05   0.00274819    -0.128277
3.972  8.73204e-05   0.00280795    -0.129645
3.966  8.88161e-05     0.002869    -0.131035
 3.96  9.03364e-05   0.00293139    -0.132446
3.954  9.18817e-05   0.00299513    -0.133879
3.948  9.34524e-05   0.00306025    -0.135334
3.942  9.50488e-05   0.00312679     -0.13681
3.936  9.66714e-05   0.00319477    -0.138307
 3.93  9.83205e-05   0.00326423    -0.139826
3.924  9.99967e-05    0.0033352    -0.141366
3.918    0.0001017   0.00340771    -0.142927
3.912  0.000103432   0.00348179    -0.144509
3.906  0.000105191   0.00355748    -0.146111
  3.9   0.00010698   0.00363482    -0.147733
3.894  0.000108797   0.00371384    -0.149375
3.888  0.000110644   0.00379457    -0.151036
3.882  0.000112521   0.00387705    -0.152716
3.876  0.000114429   0.00396133    -0.154415
 3.87  0.000116367   0.00404744    -0.156131
3.864  0.000118337   0.00413541    -0.157864
3.858  0.000120339    0.0042253    -0.159614
3.852  0.000122374   0.00431713    -0.161379
3.846  0.000124441   0.00441096    -0.163159
 3.84  0.000126542   0.00450683    -0.164954
3.834  0.000128677   0.00460478    -0.166765
3.828  0.000130846   0.00470486     -0.16859
3.822   0.00013305   0.00480711     -0.17043
3.816   0.00013529   0.00491158    -0.172286
 3.81  0.000137566   0.00501831    -0.174158
3.804  0.000139879   0.00512736    -0.176045
3.798  0.000142228   0.00523879    -0.177948
3.792  0.000144616   0.00535262    -0.179867
3.786  0.000147041   0.00546894    -0.181803
 3.78  0.000149506   0.00558777    -0.183755
3.774   0.00015201   0.00570918    -0.185724
3.768  0.000154555   0.00583323     -0.18771
3.762   0.00015714   0.00595998    -0.189714
3.756  0.000159766   0.00608947    -0.191736
 3.75  0.000162434   0.00622177    -0.193776
3.744  0.000165145   0.00635695    -0.195836
3.738  0.000167899   0.00649506    -0.197914
3.732  0.000170697   0.00663616    -0.200013
3.726   0.00017354   0.00678033    -0.202132
 3.72  0.000176427   0.00692763    -0.204273
3.714  0.000179361   0.00707812    -0.206436
