#	T	rho	calc	hoef:
   0.600    1.085    4.81746119    4.98513684
   0.600    1.086    4.88831815    5.05472904
   0.600    1.087    4.95965741    5.12475895
   0.600    1.088    5.03137918    5.19522806
   0.600    1.089    5.10347971    5.26613790
   0.600    1.090    5.17612041    5.33748997
   0.600    1.091    5.24914598    5.40928579
   0.600    1.092    5.32254960    5.48152688
   0.600    1.093    5.39649625    5.55421476
   0.600    1.094    5.47082925    5.62735095
   0.600    1.095    5.54554440    5.70093697
   0.600    1.096    5.62075969    5.77497436
   0.600    1.097    5.69647722    5.84946464
   0.600    1.098    5.77259757    5.92440935
   0.600    1.099    5.84911108    5.99981003
   0.600    1.100    5.92616772    6.07566821
   0.600    1.101    6.00362095    6.15198543
   0.600    1.102    6.08145844    6.22876324
   0.600    1.103    6.15979054    6.30600318
   0.600    1.104    6.23864421    6.38370680
   0.600    1.105    6.31790245    6.46187565
   0.600    1.106    6.39756887    6.54051129
   0.600    1.107    6.47780824    6.61961527
   0.600    1.108    6.55844555    6.69918915
   0.600    1.109    6.63949590    6.77923450
   0.600    1.110    6.72106396    6.85975287
   0.600    1.111    6.80315920    6.94074583
   0.600    1.112    6.88567222    7.02221495
   0.600    1.113    6.96859494    7.10416181
   0.600    1.114    7.05211952    7.18658798
   0.600    1.115    7.13604495    7.26949503
   0.600    1.116    7.22036717    7.35288454
   0.600    1.117    7.30523274    7.43675810
   0.600    1.118    7.39061623    7.52111728
   0.600    1.119    7.47641053    7.60596369
   0.600    1.120    7.56263691    7.69129890
   0.600    1.121    7.64948343    7.77712451
   0.600    1.122    7.73675768    7.86344212
   0.600    1.123    7.82443898    7.95025331
   0.600    1.124    7.91268926    8.03755970
   0.600    1.125    8.00149506    8.12536288
   0.600    1.126    8.09070773    8.21366446
   0.600    1.127    8.18035701    8.30246604
   0.600    1.128    8.27057980    8.39176924
   0.600    1.129    8.36135704    8.48157568
   0.600    1.130    8.45257254    8.57188695
   0.600    1.131    8.54421944    8.66270469
   0.600    1.132    8.63650136    8.75403052
   0.600    1.133    8.72922975    8.84586605
   0.600    1.134    8.82238657    8.93821291
   0.600    1.135    8.91610797    9.03107274
   0.600    1.136    9.01042217    9.12444716
   0.600    1.137    9.10518611    9.21833780
   0.600    1.138    9.20037588    9.31274631
   0.600    1.139    9.29617290    9.40767431
